Plan Repository From All Service Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,planID,productOffering.market segment,productOffering.businessType,productOffering.place,"popularity
index","productOffering.isBundled
","productOffering.planType
data only etc (TBD)",productOffering.customerType,productOffering.name,productOffering.productOfferingPrice ($),,,,,,,,,serviceSpecificationChar,,,,,,,,,,,,,,,,,productOffering.salesChannel,productOffering.productOfferingPrice,,productSpec(Addons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator A,POA008,Military and veterans,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA009,Teachers,prepaid,New york,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA010,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA011,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA012,Teachers,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA013,Nurses and physicians,prepaid,New york,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA014,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA015,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA016,Nurses and physicians,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA017,Students,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA018,Students,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA019,Unions,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA020,Unions,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA021,Unions,prepaid,New york,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA022,Unions,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA023,Business employees,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA024,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA025,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA026,Business employees,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,S25 Ultra,Silverblue,256,1299.99,one time
Operator A,POA027,AARP,prepaid,Los Angeles,,TRUE,,Bundled,"Operator A Unlimited 
Starter® SL",48.75,,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
Operator A,POA028,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,45,,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy Z Flip6,Blue,256,1099.99,one time
Operator A,POA029,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,33.75,,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,Edge,Blue,256,299.99,one time
Operator A,POA030,AARP,prepaid,Los Angeles,,TRUE,,Family & CUG,"Operator A Unlimited 
Starter® SL",,,,26.99,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,0,0,ulimited,230+,Yes,5,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Motorola,razr+ 2024 ,Pink,256,749.99,one time
Operator A,POA031,General,prepaid,Dallas,,TRUE,,Individual,"Operator A PREPAID 
Unlimited MAX℠",65,65,65,65,4.99,15,monthly,26.8,,Unlimited,0,0,0,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,4K UHD,unlimited,unlimited,unlimited,20+ latin ,Yes,25,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,100,0,TRUE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,13,Black,128,629.99,one time
Operator A,POA032,General,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,45,45,45,45,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10," 25% off for Business Employees, AARP, Military & Veterans, 
Teachers, Nurses & Physicians, Unions, Students",0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro max,Black,256,1199.99,one time
Operator A,POA033,Military and veterans,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Samsung,Galaxy S24 FE,Graphite,128,649.99,one time
Operator A,POA034,Teachers,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Google,Pixel 9,Obsidian,128,849.99,one time
Operator A,POA035,Nurses and physicians,prepaid,Dallas,,TRUE,,Individual,Prepaid unlimited basic,67.5,67.5,67.5,67.5,4.99,15,monthly,26.8,,Unlimited,30,3,1.5,No,Unlimited,Unlimited domestic and to 230+ countries.,Yes,SD,unlimited,unlimited,unlimited,"US,Canada,Mexico",Yes,0,0,Yes,"Online,Store,App",10,0,0,NA,FALSE,0,10,1,FALSE,17,1,FALSE,price varies as per handset cost,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,NA,FALSE,Anti Virus,TRUE,Apple,16 pro,White,128,999.99,one time
